 time            p2e             vout           
 8.92800000e-09  5.54507544e-07  5.48774775e-01 
 9.02800000e-09  5.54507545e-07  5.48774775e-01 
 9.12800000e-09  5.54507543e-07  5.48774775e-01 
 9.22800000e-09  5.54507544e-07  5.48774775e-01 
 9.32800000e-09  5.54507545e-07  5.48774775e-01 
 9.42800000e-09  5.54507544e-07  5.48774775e-01 
 9.52800000e-09  5.54507544e-07  5.48774775e-01 
 9.62800000e-09  5.54507544e-07  5.48774775e-01 
 9.72800000e-09  5.54507545e-07  5.48774775e-01 
 9.82800000e-09  5.54507545e-07  5.48774775e-01 
 9.92800000e-09  5.54507543e-07  5.48774775e-01 
 1.00280000e-08  5.54507545e-07  5.48774775e-01 
 1.01280000e-08  5.54507544e-07  5.48774775e-01 
 1.02280000e-08  5.54507545e-07  5.48774775e-01 
 1.03280000e-08  5.54507543e-07  5.48774775e-01 
 1.04280000e-08  5.54507545e-07  5.48774775e-01 
 1.05280000e-08  5.54507544e-07  5.48774775e-01 
 1.06280000e-08  5.54507543e-07  5.48774775e-01 
 1.07280000e-08  5.54507546e-07  5.48774775e-01 
 1.08280000e-08  5.54507544e-07  5.48774775e-01 
 1.09280000e-08  5.54507543e-07  5.48774775e-01 
 1.10280000e-08  5.54507546e-07  5.48774775e-01 
 1.11280000e-08  5.54507542e-07  5.48774775e-01 
 1.12280000e-08  5.54507547e-07  5.48774775e-01 
 1.13280000e-08  5.54507542e-07  5.48774775e-01 
 1.14280000e-08  5.54507546e-07  5.48774775e-01 
 1.15280000e-08  5.54507545e-07  5.48774775e-01 
 1.16280000e-08  5.54507542e-07  5.48774775e-01 
 1.17280000e-08  5.54507546e-07  5.48774775e-01 
 1.18280000e-08  5.54507542e-07  5.48774775e-01 
 1.19280000e-08  5.54507547e-07  5.48774775e-01 
 1.20280000e-08  5.54507542e-07  5.48774775e-01 
 1.21280000e-08  5.54507547e-07  5.48774775e-01 
 1.22280000e-08  5.54507542e-07  5.48774775e-01 
 1.23280000e-08  5.54507546e-07  5.48774775e-01 
 1.24280000e-08  5.54507543e-07  5.48774775e-01 
 1.25280000e-08  5.54507545e-07  5.48774775e-01 
 1.26280000e-08  5.54507544e-07  5.48774775e-01 
 1.27280000e-08  5.54507545e-07  5.48774775e-01 
 1.28280000e-08  5.54507545e-07  5.48774775e-01 
 1.29280000e-08  5.54507543e-07  5.48774775e-01 
 1.30280000e-08  5.54507543e-07  5.48774775e-01 
