 time            p2e             vout           
 6.38635063e-08  1.19815634e-08  5.57713574e-01 
 6.39635063e-08  1.19815650e-08  5.57713565e-01 
 6.40635063e-08  1.19815651e-08  5.57713555e-01 
 6.41635063e-08  1.19815651e-08  5.57713545e-01 
 6.42635063e-08  1.19815634e-08  5.57713535e-01 
 6.43635063e-08  1.19815656e-08  5.57713525e-01 
 6.44635063e-08  1.19815638e-08  5.57713515e-01 
 6.45635063e-08  1.19815655e-08  5.57713505e-01 
 6.46635063e-08  1.19815639e-08  5.57713494e-01 
 6.47635063e-08  1.19815657e-08  5.57713484e-01 
 6.48635063e-08  1.19815641e-08  5.57713474e-01 
 6.49635063e-08  1.19815660e-08  5.57713463e-01 
 6.50635063e-08  1.19815626e-08  5.57713452e-01 
 6.51635063e-08  1.19815643e-08  5.57713442e-01 
 6.52635063e-08  1.19815655e-08  5.57713431e-01 
 6.53635063e-08  1.19815656e-08  5.57713420e-01 
 6.54635063e-08  1.19815643e-08  5.57713409e-01 
 6.55635063e-08  1.19815645e-08  5.57713398e-01 
 6.56635063e-08  1.19815626e-08  5.57713387e-01 
 6.57635063e-08  1.19815655e-08  5.57713376e-01 
 6.58635063e-08  1.19815651e-08  5.57713365e-01 
 6.59635063e-08  1.19815652e-08  5.57713354e-01 
 6.60635063e-08  1.19815635e-08  5.57713343e-01 
 6.61635063e-08  1.19815654e-08  5.57713332e-01 
 6.62635063e-08  1.19815656e-08  5.57713321e-01 
 6.63635063e-08  1.19815638e-08  5.57713309e-01 
 6.64635063e-08  1.19815640e-08  5.57713298e-01 
 6.65635063e-08  1.19815656e-08  5.57713287e-01 
 6.66635063e-08  1.19815640e-08  5.57713276e-01 
 6.67635063e-08  1.19815657e-08  5.57713264e-01 
 6.68635063e-08  1.19815640e-08  5.57713253e-01 
 6.69635063e-08  1.19815641e-08  5.57713241e-01 
 6.70635063e-08  1.19815639e-08  5.57713230e-01 
 6.71635063e-08  1.19815652e-08  5.57713218e-01 
 6.72635063e-08  1.19815653e-08  5.57713207e-01 
 6.73635063e-08  1.19815653e-08  5.57713195e-01 
 6.74635063e-08  1.19815621e-08  5.57713184e-01 
 6.75635063e-08  1.19815655e-08  5.57713172e-01 
 6.76635063e-08  1.19815651e-08  5.57713161e-01 
 6.77635063e-08  1.19815652e-08  5.57713149e-01 
 6.78635063e-08  1.19815636e-08  5.57713138e-01 
 6.79635063e-08  1.19815655e-08  5.57713126e-01 
 6.80635063e-08  1.19815655e-08  5.57713114e-01 
 6.81635063e-08  1.19815638e-08  5.57713103e-01 
 6.82635063e-08  1.19815640e-08  5.57713091e-01 
 6.83635063e-08  1.19815659e-08  5.57713079e-01 
 6.84635063e-08  1.19815639e-08  5.57713068e-01 
 6.85635063e-08  1.19815641e-08  5.57713056e-01 
 6.86635063e-08  1.19815641e-08  5.57713044e-01 
 6.87635063e-08  1.19815654e-08  5.57713033e-01 
 6.88635063e-08  1.19815656e-08  5.57713021e-01 
 6.89635063e-08  1.19815637e-08  5.57713009e-01 
 6.90635063e-08  1.19815658e-08  5.57712997e-01 
 6.91635063e-08  1.19815642e-08  5.57712986e-01 
 6.92635063e-08  1.19815641e-08  5.57712974e-01 
 6.93635063e-08  1.19815640e-08  5.57712962e-01 
 6.94635063e-08  1.19815657e-08  5.57712950e-01 
 6.95635063e-08  1.19815622e-08  5.57712939e-01 
 6.96635063e-08  1.19815653e-08  5.57712927e-01 
 6.97635063e-08  1.19815651e-08  5.57712915e-01 
 6.98635063e-08  1.19815654e-08  5.57712903e-01 
 6.99635063e-08  1.19815637e-08  5.57712891e-01 
 7.00635063e-08  1.19815656e-08  5.57712880e-01 
 7.01635063e-08  1.19815658e-08  5.57712868e-01 
 7.02635063e-08  1.19815624e-08  5.57712856e-01 
 7.03635063e-08  1.19815658e-08  5.57712844e-01 
 7.04635063e-08  1.19815656e-08  5.57712832e-01 
 7.05635063e-08  1.19815624e-08  5.57712821e-01 
 7.06635063e-08  1.19815656e-08  5.57712809e-01 
 7.07635063e-08  1.19815637e-08  5.57712797e-01 
 7.08635063e-08  1.19815655e-08  5.57712785e-01 
 7.09635063e-08  1.19815619e-08  5.57712773e-01 
 7.10635063e-08  1.19815651e-08  5.57712761e-01 
 7.11635063e-08  1.19815644e-08  5.57712750e-01 
 7.12635063e-08  1.19815664e-08  5.57712738e-01 
 7.13635063e-08  1.19815646e-08  5.57712726e-01 
 7.14635063e-08  1.19815650e-08  5.57712714e-01 
 7.15635063e-08  1.19815653e-08  5.57712702e-01 
 7.16635063e-08  1.19815657e-08  5.57712690e-01 
 7.17635063e-08  1.19815624e-08  5.57712678e-01 
 7.18635063e-08  1.19815661e-08  5.57712667e-01 
 7.19635063e-08  1.19815642e-08  5.57712655e-01 
 7.20635063e-08  1.19815662e-08  5.57712643e-01 
 7.21635063e-08  1.19815625e-08  5.57712631e-01 
 7.22635063e-08  1.19815660e-08  5.57712619e-01 
 7.23635063e-08  1.19815623e-08  5.57712607e-01 
 7.24635063e-08  1.19815659e-08  5.57712595e-01 
 7.25635063e-08  1.19815635e-08  5.57712584e-01 
 7.26635063e-08  1.19815653e-08  5.57712572e-01 
 7.27635063e-08  1.19815651e-08  5.57712560e-01 
 7.28635063e-08  1.19815636e-08  5.57712548e-01 
 7.29635063e-08  1.19815653e-08  5.57712536e-01 
 7.30635063e-08  1.19815655e-08  5.57712524e-01 
 7.31635063e-08  1.19815640e-08  5.57712512e-01 
 7.32635063e-08  1.19815639e-08  5.57712500e-01 
 7.33635063e-08  1.19815657e-08  5.57712489e-01 
 7.34635063e-08  1.19815620e-08  5.57712477e-01 
 7.35635063e-08  1.19815652e-08  5.57712465e-01 
 7.36635063e-08  1.19815646e-08  5.57712453e-01 
 7.37635063e-08  1.19815645e-08  5.57712441e-01 
 7.38635063e-08  1.19815643e-08  5.57712429e-01 
 7.39635063e-08  1.19815664e-08  5.57712417e-01 
 7.40635063e-08  1.19815649e-08  5.57712405e-01 
 7.41635063e-08  1.19815654e-08  5.57712393e-01 
