 time            vo1             vo2             q               p1              p2             
 1.19959202e-10 -7.20430610e-11 -7.45914406e-23 -4.27734520e-04  0.00000000e+00  0.00000000e+00 
 1.25378017e-10 -7.71181108e-11 -5.42807652e-23 -2.95375011e-04  0.00000000e+00  0.00000000e+00 
 1.30226432e-10 -8.16589468e-11 -2.97880106e-23 -1.26344085e-04  0.00000000e+00  0.00000000e+00 
 1.34784727e-10 -8.59280666e-11 -4.19924228e-24  2.39262683e-05  0.00000000e+00  0.00000000e+00 
 1.38768949e-10 -8.96595330e-11  1.77474975e-23  1.72413050e-04  0.00000000e+00  0.00000000e+00 
 1.43505075e-10 -9.40952025e-11  3.97998942e-23  3.40474469e-04  0.00000000e+00  0.00000000e+00 
 1.48685295e-10 -9.89467932e-11  5.54254216e-23  4.40136942e-04  0.00000000e+00  0.00000000e+00 
 1.53625763e-10 -1.03573843e-10  6.08198462e-23  3.96879134e-04  0.00000000e+00  0.00000000e+00 
 1.58464463e-10 -1.08105579e-10  5.82055788e-23  2.52199964e-04  0.00000000e+00  0.00000000e+00 
 1.65048235e-10 -1.14271683e-10  4.72253055e-23  5.13945295e-05  0.00000000e+00  0.00000000e+00 
 1.71141879e-10 -1.19978752e-10  3.42463104e-23 -6.00029449e-05  0.00000000e+00  0.00000000e+00 
 1.80557941e-10 -1.28797467e-10  1.65145137e-23 -1.04776405e-04  0.00000000e+00  0.00000000e+00 
 1.91282443e-10 -1.38841616e-10  3.04564109e-24 -7.77976609e-05  0.00000000e+00  0.00000000e+00 
 2.06971184e-10 -1.53535077e-10 -6.05006247e-24 -2.94284228e-05  0.00000000e+00  0.00000000e+00 
 2.26048199e-10 -1.71401864e-10 -8.05561542e-24 -1.01707860e-06  0.00000000e+00  0.00000000e+00 
 2.55124957e-10 -1.98634020e-10 -5.43493172e-24  7.34883061e-06  0.00000000e+00  0.00000000e+00 
 2.98296410e-10 -2.39066716e-10 -7.13307728e-25  4.14108007e-06  0.00000000e+00  0.00000000e+00 
 3.84639317e-10 -3.19932107e-10  4.75443797e-24  3.43556023e-07  0.00000000e+00  0.00000000e+00 
 4.93486892e-10 -4.21874492e-10  7.97368166e-24 -2.46288365e-07  0.00000000e+00  0.00000000e+00 
 6.88089337e-10 -6.04131533e-10  1.04415129e-23 -5.09308842e-08  0.00000000e+00  0.00000000e+00 
 9.51680857e-10 -8.51001038e-10  9.55664059e-24  5.85902070e-08  0.00000000e+00  0.00000000e+00 
 1.42152152e-09 -1.29103540e-09 -3.46832222e-24  7.10193168e-08  0.00000000e+00  0.00000000e+00 
 2.10138722e-09 -1.92777096e-09 -4.81410808e-23  6.59852138e-08  0.00000000e+00  0.00000000e+00 
 3.30448053e-09 -3.05454087e-09 -2.00790267e-22  6.50102945e-08  0.00000000e+00  0.00000000e+00 
 5.00000000e-09 -4.64249754e-09 -5.71883183e-22  6.50780899e-08  0.00000000e+00  0.00000000e+00 
 5.01000000e-09 -4.65186457e-09 -5.77395920e-22  2.67779528e-05  1.20000000e-01  0.00000000e+00 
 5.03000000e-09 -4.67059572e-09 -5.90031473e-22 -7.09803814e-06  3.60000000e-01  0.00000000e+00 
 5.03479167e-09 -4.67508298e-09 -5.93128295e-22 -9.93890146e-06  4.17500000e-01  0.00000000e+00 
 5.04317708e-09 -4.68293550e-09 -5.97974009e-22 -1.68767733e-05  5.18125000e-01  0.00000000e+00 
 5.05246094e-09 -4.69732656e-09  3.81212360e-12 -4.94952903e-05  6.29531250e-01  0.00000000e+00 
 5.06130826e-09 -4.71295375e-09  1.88373200e-11 -1.21742599e-04  7.35699074e-01  0.00000000e+00 
 5.06920692e-09 -4.72746770e-09  5.15226902e-11 -2.22020670e-04  8.30483028e-01  0.00000000e+00 
 5.07843347e-09 -4.74461795e-09  1.27936611e-10 -3.22419559e-04  9.41201688e-01  0.00000000e+00 
 5.08871618e-09 -4.76380209e-09  2.79505986e-10 -4.02291974e-04  1.06459414e+00  0.00000000e+00 
 5.09688237e-09 -4.77905372e-09  4.50146655e-10 -3.08761385e-04  1.16258845e+00  0.00000000e+00 
 5.10000000e-09 -4.78487781e-09  5.24640428e-10 -1.29520224e-04  1.20000000e+00  0.00000000e+00 
 5.10073547e-09 -4.78625180e-09  5.42920985e-10 -8.84724266e-05  1.20000000e+00  0.00000000e+00 
 5.10220642e-09 -4.78899967e-09  5.79476132e-10  5.96732956e-05  1.20000000e+00  0.00000000e+00 
 5.10463684e-09 -4.79353949e-09  6.37791283e-10  4.42629991e-04  1.20000000e+00  0.00000000e+00 
 5.10773302e-09 -4.79932210e-09  7.02015790e-10  9.43431788e-04  1.20000000e+00  0.00000000e+00 
 5.11340160e-09 -4.80990678e-09  7.66776625e-10  1.43195347e-03  1.20000000e+00  0.00000000e+00 
 5.11954805e-09 -4.82138039e-09  7.49869976e-10  1.24905418e-03  1.20000000e+00  0.00000000e+00 
 5.12548065e-09 -4.83245146e-09  6.65562898e-10  5.78659845e-04  1.20000000e+00  0.00000000e+00 
 5.13015590e-09 -4.84117382e-09  5.74171248e-10 -4.00490711e-05  1.20000000e+00  0.00000000e+00 
 5.13554396e-09 -4.85122350e-09  4.71880717e-10 -5.52548766e-04  1.20000000e+00  0.00000000e+00 
 5.14057403e-09 -4.86060303e-09  3.94556866e-10 -5.76480656e-04  1.20000000e+00  0.00000000e+00 
 5.14805755e-09 -4.87455310e-09  3.18593832e-10 -3.87923906e-04  1.20000000e+00  0.00000000e+00 
 5.15412849e-09 -4.88586616e-09  2.85210366e-10 -2.23937167e-04  1.20000000e+00  0.00000000e+00 
 5.16125269e-09 -4.89913755e-09  2.66660117e-10 -9.21730596e-05  1.20000000e+00  0.00000000e+00 
 5.16891280e-09 -4.91340200e-09  2.60102649e-10 -2.08471494e-05  1.20000000e+00  0.00000000e+00 
 5.17825663e-09 -4.93079442e-09  2.59829047e-10  7.62733774e-06  1.20000000e+00  0.00000000e+00 
 5.19004026e-09 -4.95271668e-09  2.63016802e-10  9.93121184e-06  1.20000000e+00  0.00000000e+00 
 5.20642570e-09 -4.98317866e-09  2.68303357e-10  4.20758009e-06  1.20000000e+00  0.00000000e+00 
 5.23142142e-09 -5.02959989e-09  2.75887025e-10  3.62716735e-07  1.20000000e+00  0.00000000e+00 
 5.27686892e-09 -5.11385505e-09  2.88682739e-10 -3.55546230e-07  1.20000000e+00  0.00000000e+00 
 5.33571067e-09 -5.22265791e-09  3.04414057e-10 -6.08692626e-08  1.20000000e+00  0.00000000e+00 
 5.43191353e-09 -5.39985667e-09  3.28772455e-10  6.12300322e-08  1.20000000e+00  0.00000000e+00 
 5.56593616e-09 -5.64530148e-09  3.60031998e-10  6.90733247e-08  1.20000000e+00  0.00000000e+00 
 5.79039195e-09 -6.05270253e-09  4.05575833e-10  6.58585136e-08  1.20000000e+00  0.00000000e+00 
 6.12288494e-09 -6.64787618e-09  4.57921939e-10  6.50787207e-08  1.20000000e+00  0.00000000e+00 
 6.68600642e-09 -7.63367540e-09  5.07763364e-10  6.50871301e-08  1.20000000e+00  0.00000000e+00 
 7.54700023e-09 -9.08859013e-09  4.97791385e-10  6.50981321e-08  1.20000000e+00  0.00000000e+00 
 8.99278696e-09 -1.13964722e-08  2.79906260e-10  6.50974437e-08  1.20000000e+00  0.00000000e+00 
 1.06658530e-08 -1.38687194e-08 -2.30421453e-10  6.50972092e-08  1.20000000e+00  0.00000000e+00 
 1.26424133e-08 -1.65368080e-08 -1.10532718e-09  6.50971925e-08  1.20000000e+00  0.00000000e+00 
 1.47798553e-08 -1.91415075e-08 -2.28772715e-09  6.50971480e-08  1.20000000e+00  0.00000000e+00 
 1.71576599e-08 -2.17312131e-08 -3.78685131e-09  6.50971215e-08  1.20000000e+00  0.00000000e+00 
 1.97050023e-08 -2.41850765e-08 -5.50715489e-09  6.50971036e-08  1.20000000e+00  0.00000000e+00 
 2.24913485e-08 -2.65350292e-08 -7.42906409e-09  6.50970927e-08  1.20000000e+00  0.00000000e+00 
 2.54727416e-08 -2.87123778e-08 -9.45069067e-09  6.50970849e-08  1.20000000e+00  0.00000000e+00 
 2.87083446e-08 -3.07357121e-08 -1.15375655e-08  6.50970797e-08  1.20000000e+00  0.00000000e+00 
 3.21724594e-08 -3.25679903e-08 -1.36011568e-08  6.50970760e-08  1.20000000e+00  0.00000000e+00 
 3.59201446e-08 -3.42232290e-08 -1.56076150e-08  6.50970736e-08  1.20000000e+00  0.00000000e+00 
 3.99431231e-08 -3.56859915e-08 -1.74934281e-08  6.50970718e-08  1.20000000e+00  0.00000000e+00 
 4.42988016e-08 -3.69699184e-08 -1.92358277e-08  6.50970705e-08  1.20000000e+00  0.00000000e+00 
 4.89981033e-08 -3.80736953e-08 -2.07988759e-08  6.50970695e-08  1.20000000e+00  0.00000000e+00 
 5.41083832e-08 -3.90119489e-08 -2.21747431e-08  6.50970687e-08  1.20000000e+00  0.00000000e+00 
 5.96654016e-08 -3.97920986e-08 -2.33516546e-08  6.50970682e-08  1.20000000e+00  0.00000000e+00 
 6.57582777e-08 -4.04298532e-08 -2.43357373e-08  6.50970678e-08  1.20000000e+00  0.00000000e+00 
 7.24607778e-08 -4.09375896e-08 -2.51331389e-08  6.50970676e-08  1.20000000e+00  0.00000000e+00 
 7.99058350e-08 -4.13315866e-08 -2.57602275e-08  6.50970672e-08  1.20000000e+00  0.00000000e+00 
 8.82349621e-08 -4.16264968e-08 -2.62341818e-08  6.50970672e-08  1.20000000e+00  0.00000000e+00 
 9.76725500e-08 -4.18383640e-08 -2.65769322e-08  6.50970671e-08  1.20000000e+00  0.00000000e+00 
 1.07672550e-07 -4.19729683e-08 -2.67955879e-08  6.50970670e-08  1.20000000e+00  0.00000000e+00 
 1.17672550e-07 -4.20507992e-08 -2.69222737e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 1.27672550e-07 -4.20949789e-08 -2.69942087e-08  6.50970671e-08  1.20000000e+00  0.00000000e+00 
 1.37672550e-07 -4.21197010e-08 -2.70344278e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 1.47672550e-07 -4.21333780e-08 -2.70566444e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 1.57672550e-07 -4.21408746e-08 -2.70687999e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 1.67672550e-07 -4.21449519e-08 -2.70753997e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 1.77672550e-07 -4.21471550e-08 -2.70789606e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 1.87672550e-07 -4.21483388e-08 -2.70808717e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 1.97672550e-07 -4.21489719e-08 -2.70818928e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 2.07672550e-07 -4.21493089e-08 -2.70824361e-08  6.50970664e-08  1.20000000e+00  0.00000000e+00 
 2.17672550e-07 -4.21494877e-08 -2.70827242e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 2.27672550e-07 -4.21495823e-08 -2.70828765e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 2.37672550e-07 -4.21496321e-08 -2.70829567e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 2.47672550e-07 -4.21496583e-08 -2.70829989e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 2.57672550e-07 -4.21496720e-08 -2.70830209e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 2.67672550e-07 -4.21496792e-08 -2.70830325e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 2.77672550e-07 -4.21496829e-08 -2.70830385e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 2.87672550e-07 -4.21496849e-08 -2.70830416e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 2.97672550e-07 -4.21496859e-08 -2.70830432e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 3.07672550e-07 -4.21496864e-08 -2.70830441e-08  6.50970664e-08  1.20000000e+00  0.00000000e+00 
 3.17672550e-07 -4.21496866e-08 -2.70830445e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 3.27672550e-07 -4.21496867e-08 -2.70830447e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 3.37672550e-07 -4.21496868e-08 -2.70830448e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 3.47672550e-07 -4.21496868e-08 -2.70830449e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 3.57672550e-07 -4.21496868e-08 -2.70830449e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 3.67672550e-07 -4.21496868e-08 -2.70830449e-08  6.50970664e-08  1.20000000e+00  0.00000000e+00 
 3.77672550e-07 -4.21496868e-08 -2.70830449e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 3.87672550e-07 -4.21496868e-08 -2.70830448e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 3.97672550e-07 -4.21496867e-08 -2.70830448e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 4.07672550e-07 -4.21496867e-08 -2.70830448e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 4.17672550e-07 -4.21496867e-08 -2.70830448e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 4.27672550e-07 -4.21496867e-08 -2.70830448e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 4.37672550e-07 -4.21496867e-08 -2.70830448e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 4.47672550e-07 -4.21496866e-08 -2.70830448e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 4.57672550e-07 -4.21496866e-08 -2.70830448e-08  6.50970668e-08  1.20000000e+00  0.00000000e+00 
 4.67672550e-07 -4.21496866e-08 -2.70830448e-08  6.50970664e-08  1.20000000e+00  0.00000000e+00 
 4.77672550e-07 -4.21496866e-08 -2.70830448e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 4.87672550e-07 -4.21496866e-08 -2.70830448e-08  6.50970665e-08  1.20000000e+00  0.00000000e+00 
 4.97672550e-07 -4.21496865e-08 -2.70830447e-08  6.50970667e-08  1.20000000e+00  0.00000000e+00 
 5.00000000e-07 -4.21496865e-08 -2.70830447e-08  6.50970666e-08  1.20000000e+00  0.00000000e+00 
 5.00010000e-07 -4.21496865e-08 -2.72836687e-08  9.65470948e-04  1.20000000e+00  0.00000000e+00 
 5.00030000e-07 -4.21496865e-08 -2.81784103e-08  1.00846384e-03  1.20000000e+00  0.00000000e+00 
 5.00037958e-07 -4.21496865e-08 -2.87281569e-08  8.74495135e-04  1.20000000e+00  0.00000000e+00 
 5.00048238e-07 -4.21496865e-08 -2.95558848e-08  3.01370656e-04  1.20000000e+00  0.00000000e+00 
 5.00056211e-07 -4.21496865e-08 -3.01904242e-08 -8.91251981e-04  1.20000000e+00  0.00000000e+00 
 5.00065292e-07 -4.21496865e-08 -3.07333596e-08 -2.17347297e-03  1.20000000e+00  0.00000000e+00 
 5.00073297e-07 -4.21496865e-08 -3.09959239e-08 -1.82084953e-03  1.20000000e+00  0.00000000e+00 
 5.00078126e-07 -4.21496865e-08 -3.10642481e-08 -1.12667683e-03  1.20000000e+00  0.00000000e+00 
 5.00084944e-07 -4.21496865e-08 -3.10881161e-08 -3.42655185e-04  1.20000000e+00  0.00000000e+00 
 5.00091225e-07 -4.21496865e-08 -3.10694364e-08 -4.60754179e-05  1.20000000e+00  0.00000000e+00 
 5.00098811e-07 -4.21496865e-08 -3.10250560e-08  7.76329396e-06  1.20000000e+00  0.00000000e+00 
 5.00100000e-07 -4.21496865e-08 -3.10164143e-08 -5.54802847e-06  1.20000000e+00  0.00000000e+00 
 5.00100391e-07 -4.21496865e-08 -3.10134283e-08 -2.13894114e-04  1.19530627e+00  0.00000000e+00 
 5.00101173e-07 -4.21496865e-08 -3.10071183e-08 -5.94960085e-04  1.18591881e+00  0.00000000e+00 
 5.00102586e-07 -4.21496865e-08 -3.09936588e-08 -8.98758313e-04  1.16896753e+00  0.00000000e+00 
 5.00104416e-07 -4.21496865e-08 -3.09715496e-08 -8.51035515e-04  1.14701275e+00  0.00000000e+00 
 5.00108075e-07 -4.21496865e-08 -3.09138452e-08 -4.94529030e-04  1.10310318e+00  0.00000000e+00 
 5.00115393e-07 -4.21496865e-08 -3.07677011e-08 -8.71925620e-05  1.01528405e+00  0.00000000e+00 
 5.00126607e-07 -4.21496865e-08 -3.05105451e-08  4.44406318e-05  8.80711924e-01  0.00000000e+00 
 5.00135455e-07 -4.21496865e-08 -3.02959876e-08  2.66464172e-05  7.74540070e-01  0.00000000e+00 
 5.00150530e-07 -4.21410263e-08 -3.01546664e-08  4.07108248e-05  5.93635018e-01  0.00000000e+00 
 5.00159459e-07 -4.21335431e-08 -3.01319737e-08  1.02869300e-04  4.86490887e-01  0.00000000e+00 
 5.00167782e-07 -4.21260182e-08 -3.01250890e-08  1.90461636e-04  3.86610664e-01  0.00000000e+00 
 5.00178542e-07 -4.21160724e-08 -3.01218800e-08  2.78427111e-04  2.57494448e-01  0.00000000e+00 
 5.00189448e-07 -4.21059080e-08 -3.01207908e-08  3.36645958e-04  1.26628837e-01  0.00000000e+00 
 5.00200000e-07 -4.20960402e-08 -3.01204432e-08  2.67127197e-04  0.00000000e+00  0.00000000e+00 
 5.00201173e-07 -4.20949419e-08 -3.01204432e-08  2.64832449e-04  0.00000000e+00  0.00000000e+00 
 5.00203518e-07 -4.20927443e-08 -3.01204431e-08  1.60711059e-04  0.00000000e+00  0.00000000e+00 
 5.00208209e-07 -4.20883413e-08 -3.01204430e-08 -2.29580931e-04  0.00000000e+00  0.00000000e+00 
 5.00213079e-07 -4.20837611e-08 -3.01204429e-08 -6.49266044e-04  0.00000000e+00  0.00000000e+00 
 5.00219263e-07 -4.20779420e-08 -3.01204427e-08 -9.92052272e-04  0.00000000e+00  0.00000000e+00 
 5.00224052e-07 -4.20734407e-08 -3.01204426e-08 -1.07799153e-03  0.00000000e+00  0.00000000e+00 
 5.00228730e-07 -4.20690491e-08 -3.01204425e-08 -1.06489355e-03  0.00000000e+00  0.00000000e+00 
 5.00233506e-07 -4.20645739e-08 -3.01204424e-08 -8.67991954e-04  0.00000000e+00  0.00000000e+00 
 5.00237473e-07 -4.20608618e-08 -3.01204423e-08 -6.40754869e-04  0.00000000e+00  0.00000000e+00 
 5.00242454e-07 -4.20562093e-08 -3.01204422e-08 -3.08415519e-04  0.00000000e+00  0.00000000e+00 
 5.00247436e-07 -4.20515603e-08 -3.01204420e-08  1.95125407e-04  0.00000000e+00  0.00000000e+00 
 5.00252193e-07 -4.20471240e-08 -3.01204419e-08  5.40534533e-04  0.00000000e+00  0.00000000e+00 
 5.00256879e-07 -4.20427503e-08 -3.01204418e-08  6.04612583e-04  0.00000000e+00  0.00000000e+00 
 5.00262649e-07 -4.20373567e-08 -3.01204417e-08  4.61957746e-04  0.00000000e+00  0.00000000e+00 
 5.00268814e-07 -4.20315861e-08 -3.01204415e-08  2.74065758e-04  0.00000000e+00  0.00000000e+00 
 5.00277054e-07 -4.20238668e-08 -3.01204413e-08  1.26068905e-04  0.00000000e+00  0.00000000e+00 
 5.00287893e-07 -4.20137094e-08 -3.01204410e-08  6.02660858e-05  0.00000000e+00  0.00000000e+00 
 5.00301747e-07 -4.20007279e-08 -3.01204407e-08  4.20698662e-05  0.00000000e+00  0.00000000e+00 
 5.00319990e-07 -4.19836386e-08 -3.01204402e-08  3.11607610e-05  0.00000000e+00  0.00000000e+00 
 5.00344500e-07 -4.19606813e-08 -3.01204396e-08  1.78423204e-05  0.00000000e+00  0.00000000e+00 
 5.00381271e-07 -4.19262433e-08 -3.01204387e-08  5.92726799e-06  0.00000000e+00  0.00000000e+00 
 5.00446462e-07 -4.18651880e-08 -3.01204371e-08 -1.18853879e-06  0.00000000e+00  0.00000000e+00 
 5.00571099e-07 -4.17484573e-08 -3.01204340e-08 -2.34848542e-06  0.00000000e+00  0.00000000e+00 
 5.00746821e-07 -4.15838831e-08 -3.01204296e-08 -7.83473015e-07  0.00000000e+00  0.00000000e+00 
 5.01093366e-07 -4.12593228e-08 -3.01204210e-08  1.33834611e-07  0.00000000e+00  0.00000000e+00 
 5.01412008e-07 -4.09608955e-08 -3.01204130e-08  1.22315203e-07  0.00000000e+00  0.00000000e+00 
 5.01646409e-07 -4.07413647e-08 -3.01204072e-08  7.66093127e-08  0.00000000e+00  0.00000000e+00 
 5.01908270e-07 -4.04961158e-08 -3.01204006e-08  6.34196264e-08  0.00000000e+00  0.00000000e+00 
 5.02016637e-07 -4.03946239e-08 -3.01203979e-08  6.19002909e-08  0.00000000e+00  0.00000000e+00 
 5.02090169e-07 -4.03257563e-08 -3.01203961e-08  6.41153792e-08  0.00000000e+00  0.00000000e+00 
 5.02158356e-07 -4.02618947e-08 -3.01203944e-08  6.65552345e-08  0.00000000e+00  0.00000000e+00 
 5.02262384e-07 -4.01644668e-08 -3.01203918e-08  6.82646677e-08  0.00000000e+00  0.00000000e+00 
 5.02316842e-07 -4.01134629e-08 -3.01203905e-08  7.74176222e-08  0.00000000e+00  0.00000000e+00 
 5.02351410e-07 -4.00810879e-08 -3.01203896e-08  1.32887446e-07  0.00000000e+00  0.00000000e+00 
 5.02401559e-07 -4.00341207e-08 -3.01203884e-08 -3.65489043e-08  0.00000000e+00  0.00000000e+00 
 5.02441735e-07 -3.99964929e-08 -3.01203874e-08  1.61015347e-08  0.00000000e+00  0.00000000e+00 
 5.02492059e-07 -3.99493618e-08 -3.01203861e-08  1.19438999e-07  0.00000000e+00  0.00000000e+00 
 5.02560138e-07 -3.98856014e-08 -3.01203844e-08  8.30530844e-08  0.00000000e+00  0.00000000e+00 
 5.02696297e-07 -3.97580805e-08 -3.01203810e-08  5.25633343e-08  0.00000000e+00  0.00000000e+00 
 5.02942032e-07 -3.95279347e-08 -3.01203749e-08  6.32599104e-08  0.00000000e+00  0.00000000e+00 
 5.03207160e-07 -3.92796263e-08 -3.01203683e-08  6.58299037e-08  0.00000000e+00  0.00000000e+00 
 5.03453676e-07 -3.90487489e-08 -3.01203621e-08  6.58372210e-08  0.00000000e+00  0.00000000e+00 
 5.03699948e-07 -3.88181001e-08 -3.01203560e-08  6.45536437e-08  0.00000000e+00  0.00000000e+00 
 5.03971746e-07 -3.85635451e-08 -3.01203492e-08  6.48942485e-08  0.00000000e+00  0.00000000e+00 
 5.04383476e-07 -3.81779351e-08 -3.01203390e-08  6.52741216e-08  0.00000000e+00  0.00000000e+00 
 5.05008033e-07 -3.75929999e-08 -3.01203234e-08  6.50957451e-08  0.00000000e+00  0.00000000e+00 
 5.05100000e-07 -3.75068671e-08 -3.01203211e-08  6.51024754e-08  0.00000000e+00  0.00000000e+00 
 5.05101093e-07 -3.75058431e-08 -3.01203211e-08  2.08385446e-05  0.00000000e+00  1.31208687e-02 
 5.05103280e-07 -3.75037950e-08 -3.01203210e-08  3.72400865e-05  0.00000000e+00  3.93626060e-02 
 5.05107654e-07 -3.74996988e-08 -3.01203209e-08  2.08326602e-05  0.00000000e+00  9.18460806e-02 
 5.05112981e-07 -3.74947094e-08 -3.01203208e-08 -4.27699534e-06  0.00000000e+00  1.55773961e-01 
 5.05123636e-07 -3.74847307e-08 -3.01203205e-08 -1.55282834e-05  0.00000000e+00  2.83629723e-01 
 5.05133695e-07 -3.74753093e-08 -3.01203203e-08 -9.13318962e-06  0.00000000e+00  4.04345195e-01 
 5.05141997e-07 -3.74675341e-08 -3.01203201e-08 -8.38433039e-06  0.00000000e+00  5.03967558e-01 
 5.05152166e-07  1.22427802e-05 -3.01203198e-08 -2.24431138e-05  0.00000000e+00  6.25991890e-01 
 5.05161987e-07  2.84764606e-05 -3.01203196e-08 -5.78012401e-05  0.00000000e+00  7.43845892e-01 
 5.05170399e-07  4.36353828e-05 -3.01203193e-08 -1.02703590e-04  0.00000000e+00  8.44786990e-01 
 5.05179624e-07  6.06715215e-05 -3.01203191e-08 -1.36392413e-04  0.00000000e+00  9.55486702e-01 
 5.05188856e-07  7.78585449e-05 -3.01203189e-08 -1.61025916e-04  0.00000000e+00  1.06626779e+00 
 5.05197092e-07  9.32299317e-05 -3.01203187e-08 -8.29916881e-06  0.00000000e+00  1.16510327e+00 
 5.05200000e-07  9.86615905e-05 -3.01203186e-08  1.87284895e-04  0.00000000e+00  1.20000000e+00 
 5.05200691e-07  9.99527276e-05 -3.01203186e-08  2.44103631e-04  0.00000000e+00  1.20000000e+00 
 5.05202073e-07  1.02534894e-04 -3.01203186e-08  3.98160879e-04  0.00000000e+00  1.20000000e+00 
 5.05204410e-07  1.06899992e-04 -3.01203185e-08  7.38702234e-04  0.00000000e+00  1.20000000e+00 
 5.05207320e-07  1.12334757e-04 -3.01203184e-08  1.14177879e-03  0.00000000e+00  1.20000000e+00 
 5.05212841e-07  1.22642340e-04 -3.01203183e-08  1.52491657e-03  0.00000000e+00  1.20000000e+00 
 5.05218721e-07  1.33619904e-04 -3.01203181e-08  1.42541226e-03  0.00000000e+00  1.20000000e+00 
 5.05224403e-07  1.44223332e-04 -3.01203180e-08  1.10305080e-03  0.00000000e+00  1.20000000e+00 
 5.05230584e-07  1.55754497e-04 -3.01203178e-08  8.12528137e-04  0.00000000e+00  1.20000000e+00 
 5.05236543e-07  1.66868130e-04 -3.01203177e-08  5.81731914e-04  0.00000000e+00  1.20000000e+00 
 5.05242350e-07  1.77695487e-04 -3.01203176e-08  3.53286345e-04  0.00000000e+00  1.20000000e+00 
 5.05250278e-07  1.92472337e-04 -3.01203174e-08  1.12039834e-05  0.00000000e+00  1.20000000e+00 
